,wall,ceiling,floor,pipes,column,window,ladder,stair,lift,mtrl,guardrails,door,ground,vehicle,tree,fence,scaffolding,portajohn,container,monument,girder,awning,clutter
in-sc-2021-0806b-indoor1,231842.0,5947180.0,4442376.0,1121044.0,326836.0,0.0,0.0,26388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-0806b-indoor2,502327.0,4654323.0,4572552.0,503747.0,0.0,819237.0,100813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-14,4173932.0,1694882.0,2215759.0,723135.0,15675.0,83308.0,28820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-15,1290562.0,3589873.0,2834859.0,321603.0,309696.0,54831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-16,1791965.0,2535820.0,2749635.0,0.0,135429.0,303186.0,0.0,0.0,116801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-17,2187460.0,2319678.0,2734032.0,822197.0,69984.0,39016.0,7084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-18,795136.0,3697249.0,2865098.0,5213.0,552917.0,334212.0,8465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-19,1593651.0,3773788.0,2336109.0,59589.0,340093.0,66337.0,0.0,124056.0,0.0,0.0,253749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-20,1862669.0,2884307.0,2462146.0,179729.0,120661.0,673356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-21,655037.0,3521456.0,2746548.0,293209.0,267375.0,17052.0,5776.0,98794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-22,3047759.0,3195443.0,401653.0,70981.0,210169.0,34639.0,0.0,1472034.0,0.0,0.0,556690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-23,3382824.0,2830000.0,1964286.0,195984.0,220162.0,73672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-24,2708736.0,2610518.0,2158229.0,532019.0,448709.0,188033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-25,2225892.0,3067511.0,2788791.0,497069.0,33504.0,176786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-26,1648855.0,3336728.0,1300216.0,534773.0,72490.0,167557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-27,1450184.0,2573956.0,2192323.0,1317000.0,51832.0,126491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1223-28,3495526.0,2086068.0,1316500.0,333991.0,0.0,0.0,0.0,601257.0,0.0,0.0,0.0,123305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-32,2012854.0,3262503.0,2427825.0,338286.0,0.0,0.0,30567.0,11465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-33,2414383.0,2308911.0,1204897.0,391877.0,0.0,35761.0,0.0,0.0,0.0,1610990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-34,4541370.0,819231.0,1791131.0,1092862.0,0.0,9721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-35,3350577.0,1618996.0,2062953.0,519833.0,0.0,138611.0,82480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-36,5524776.0,1106196.0,936471.0,0.0,0.0,95603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in-sc-2021-1224-37,828117.0,2999544.0,2334566.0,1085190.0,400422.0,85907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
